sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
432,WIDENING TO 6L OF EXISTING 4L JETPUR - GONDAL - RAJKOT SECTION FROM KM. 117.600 TO KM. 185.00 ON NH-,NHAI,N24002035,,,,9-2023,9/2025,N.A.,2070.44,N.A.,545.53,37.86,2025-06,FR_JUNE_2025.pdf
433,UPGRADATION OF DHORAJI JAMKANDORNA KALAVAD SECTION OF NH 927D FROM DESIGN CHAINAGE KM 00 TO KM 58.11,MoRTH,N24002117,,,,10-2022,2/2024,Feb-2026,246.60,291.00,27.57,15.00,2025-06,FR_JUNE_2025.pdf
434,UPGRADATION TO TWO LANE WITH PAVED SHULDER CONFIGUARATION FROM KM 00 TO 47 OF NH 351 MAHUVA TO BADHA,MoRTH,N24002118,,,,12-2022,2/2024,Aug-2025,173.06,N.A.,0.15,,2025-06,FR_JUNE_2025.pdf
435,WORK OF DEVELOPMENT AND CONSTRUCTION OF ELEVATED CORRIDORFROM KM 38/660 TO KM 42/690 (ISCON JUNCTION,MoRTH,N24002182,,,,3-2023,3/2026,N.A.,530.20,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
436,"WIDENING 2 LANE TO 4-LANE FROM KM 92/320 TO KM 115/320 (VAV CHOKDI- SATLASANA TO TO VRUNDAVAN CHOKDI,",MoRTH,N24002183,,,,3-2022,3/2026,N.A.,151.13,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
437,FOUR LANING OF KAGAVADAR - UNA SECTION OF NH-8E FROM KM 139.915 TO KM 180.478 (PACKAGE-IV) IN THE ST,NHAI,N24000569,,,,5-2016,9/2019,May-2024,723.64,N.A.,562.31,97.00,2025-06,FR_JUNE_2025.pdf
438,4-LANNING OF KODINAR TO VERAVAL SECTION OF NH-8E FROM KM 221.610 TO KM 263.000,NHAI,N24000592,,,,7-2016,7/2020,N.A.,829.97,N.A.,486.93,96.98,2025-06,FR_JUNE_2025.pdf
439,SIX LANNING FROM KM. 401.200 TO 494.410 OF NH-8 ON HYBRID ANNUITY MODE UNDER NHDP-V(PKG VI)REG.,NHAI,N24000649,,,,1-2017,12/2020,Oct-2025,1251.11,1527.75,685.73,91.08,2025-06,FR_JUNE_2025.pdf
440,CONSTRUCTION OF EIGHT LANE VADODARA KIM EXPRESSWAY FROM KM 254.430 TO KM 279.000 (KIM TO ANKLESHWAR,NHAI,N24000834,,,,3-2018,10/2021,May-2025,1161.39,1738.03,684.22,83.00,2025-06,FR_JUNE_2025.pdf
441,CONSTRUCTION OF MISSING LINKS (SINGLE LANE) IN LAKHPAT GADULI HAJIPIR ODMA KHAVDA DHOLAVIRA MAUVANA,MoRTH,N24000925,,,,10-2018,11/2020,Sep-2024,400.76,394.44,287.04,87.00,2025-06,FR_JUNE_2025.pdf
442,AHMEDABAD METRO RAIL PROJECT PHASE 1,AMR,N28000122,,,,11-2014,12/2018,N.A.,10773.00,N.A.,12486.28,99.90,2025-06,FR_JUNE_2025.pdf
443,AHMEDABAD METRO RAIL PROJECT PHASE II,AMR,N28000137,,,,3-2019,3/2024,N.A.,5384.17,N.A.,4135.88,87.68,2025-06,FR_JUNE_2025.pdf
444,SURAT METRO RAIL PROJECT,AMR,N28000138,,,,3-2019,3/2024,N.A.,12020.32,N.A.,7043.17,67.49,2025-06,FR_JUNE_2025.pdf
445,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES AT MANETHI, HARYANA.",HITES,N21000032,,,,3-2019,3/2023,Mar-2026,1294.34,1294.34,307.21,26.14,2025-06,FR_JUNE_2025.pdf
446,"C/o separate family accommodation (Phase-I) on EPC basis for SSB at Faridabad (Haryana)""",CPWD FOR MHA,N28000147,,,,1-2020,10/2023,Mar-2025,166.98,170.23,150.98,97.50,2025-06,FR_JUNE_2025.pdf
447,R and D CAMPUS II AT FARIDABAD,IOCL,N16000375,,,,6-2019,12/2022,Jul-2025,2281.94,3219.94,1744.23,63.10,2025-06,FR_JUNE_2025.pdf
448,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,IOCL,N16000412,,,,2-2021,9/2024,Dec-2025,34627.00,38231.00,21454.90,87.60,2025-06,FR_JUNE_2025.pdf
449,POLY BUTADIENE RUBBER PLANT AT PANIPAT,IOCL,N16000458,,,,3-2022,3/2025,Jun-2026,1459.00,2948.62,930.86,68.30,2025-06,FR_JUNE_2025.pdf
450,IMPLEMENTATION OF LILO OF BOTH CIRCUITS OF 400KV VIDHYACHAL PS TO SASAN D/C LINE AT HINDALCO SWITCHY,PGCIL,N18000420,,,,2-2025,12/2026,N.A.,370.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
451,DOUBLING BETWEEN BHIWANI-DOBH BAHALI,NWR,N22000604,,,,2-2023,2/2028,Mar-2026,471.06,N.A.,121.18,55.00,2025-06,FR_JUNE_2025.pdf
452,DOUBLING BETWEEN REWARI- KATHUWAS (27.73 KM),NWR,N22000606,,,,2-2023,6/2027,May-2026,352.41,N.A.,179.38,53.00,2025-06,FR_JUNE_2025.pdf
453,4-LANING OF GOHANA-SONIPAT (PKG- 2) SECTION FROM KM 40.601 TO KM 78.837 (LENGTH = 38.236KM) OF NH-352,NHAI,N24001535,,,,7-2020,7/2022,May-2024,899.00,1882.46,1123.98,97.86,2025-06,FR_JUNE_2025.pdf
454,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI- AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-III) F,NHAI,N24001633,,,,12-2020,12/2023,Mar-2024,1430.88,1813.91,1190.27,99.90,2025-06,FR_JUNE_2025.pdf
455,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI- AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-IV) FRO,NHAI,N24001634,,,,1-2021,12/2023,Mar-2024,1306.95,1564.14,949.76,99.97,2025-06,FR_JUNE_2025.pdf
456,4 LANING OF JAGADHRI TAJEWALA ROAD SECTION OF NH 907 (OLD NH 73A) UNDER NH(O) (PKG 1) IN THE STATE O,NHAI,N24001635,,,,3-2022,2/2025,N.A.,1269.50,N.A.,176.00,53.00,2025-06,FR_JUNE_2025.pdf
457,4- LANING OF ROHTAK-JIND SECTION FROM KM. 307+000 TO KM. 347+800 OF NH-71 AND CONNECTING LINK FROM K,NHAI,N24001673,,,,3-2020,3/2023,Nov-2024,510.97,N.A.,529.00,97.30,2025-06,FR_JUNE_2025.pdf
458,CONSTRUCTION OF GURGAON - PATAUDI - REWARI SECTION OF NH- 352W (DESIGN LENGTH 46.11 KM) AS FEEDER ROU,NHAI,N24001774,,,,12-2020,11/2023,N.A.,1524.03,N.A.,1105.10,67.61,2025-06,FR_JUNE_2025.pdf
459,CONSTRUCTION OF PROPOSED REWARI BYPASS (DESIGN LENGTH 14.4 KM) NH-11 AS A FEEDER ROUTE IN THE STATE,NHAI,N24001775,,,,2-2020,1/2023,Dec-2024,808.31,N.A.,930.44,100.00,2025-06,FR_JUNE_2025.pdf
460,UPGRADATION OF EXISTING 4 LANE ISMAILABAD-AMBALA SECTION (KM. 0+000 TO KM 42+500) (PART OF AMBALA-KO,NHAI,N24002037,,,,1-2023,12/2025,N.A.,609.32,609.00,204.06,52.50,2025-06,FR_JUNE_2025.pdf
461,CONSTRUCTION OF 6-LANE GREENFIELD KARNAL RING ROAD STARTING FROM NH-44 NEAR VILLAGE SHAMGARH (DESIGN,NHAI,N24002038,,,,11-2022,8/2025,N.A.,1691.45,1998.00,649.71,58.76,2025-06,FR_JUNE_2025.pdf
462,CONSTRUCTION OF 6-LANE GREENFIELD AMBALA RING ROAD STARTING FROM JUNCTION WITH SHAMLI-AMBALA SECTION,NHAI,N24002039,,,,2-2023,10/2025,N.A.,1088.64,1178.00,425.85,53.55,2025-06,FR_JUNE_2025.pdf
463,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM RANIPUR BARSI (SAHARANPUR DISTRICT) TO ADHOYA,NHAI,N24002040,,,,4-2022,5/2025,N.A.,1554.21,N.A.,522.92,54.00,2025-06,FR_JUNE_2025.pdf
464,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM ADHOYA MUSALMANA (AMBALA DISTRICT) TO SADOPUR,NHAI,N24002041,,,,4-2022,5/2025,N.A.,1491.71,N.A.,706.26,49.70,2025-06,FR_JUNE_2025.pdf
465,CONSTRUCTION OF 4-LANING OF BHIWANI HANSI ROAD SECTION OF NH 148B (DESIGN LENGTH 42.934 KM) UNDER BH,NHAI,N24002042,,,,11-2022,12/2025,N.A.,1322.13,N.A.,393.46,93.01,2025-06,FR_JUNE_2025.pdf
466,CONSTRUCTION OF 4-LANE GREENFIELD JALBEHRA - SHAHBAD SECTION OF NH ? 152G FROM KM 0+000 TO KM 22+850,NHAI,N24002043,,,,3-2022,6/2025,N.A.,927.22,1173.66,504.21,83.50,2025-06,FR_JUNE_2025.pdf
467,4L AMBALA - KALAAMB FROM KM. - 0.800 TO KM. 33.015 OF OLD NH-72,NHAI,N24002044,,,,6-2023,6/2025,N.A.,629.16,N.A.,154.00,98.90,2025-06,FR_JUNE_2025.pdf
468,CONSTRUCTION OF GREENFIELD CONNECTIVITY TO JEWAR INTERNATIONAL AIRPORT FROM DND FARIDABAD BALLABHGAR,NHAI,N24002048,,,,7-2022,6/2025,N.A.,2414.67,2898.00,1232.13,49.10,2025-06,FR_JUNE_2025.pdf
469,ESTABLISHMENT OF PERMANENT CAMPUS PHASE 1 OF IIM SIRMAUR,CPWD EDUCATION,N42000008,,,,9-2018,6/2022,Dec-2024,392.51,N.A.,316.16,91.50,2025-06,FR_JUNE_2025.pdf
470,CONSTRUCTION OF PERMANENT CAMPUSES OF CENTRAL UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND DHARAMSHAL,CPWD,N42000011,,,,3-2021,11/2024,Jul-2025,512.37,300.45,169.63,74.00,2025-06,FR_JUNE_2025.pdf
471,LUHRI HYDROELECTRIC PROJECT (STAGE1),SJVN,N18000279,,,,11-2020,1/2026,N.A.,1810.56,N.A.,1732.67,51.32,2025-06,FR_JUNE_2025.pdf
472,DHAULASIDH HYDROELECTRIC PROJECT (66 MW),SJVN,N18000291,,,,10-2020,11/2025,N.A.,687.97,N.A.,891.77,67.61,2025-06,FR_JUNE_2025.pdf
473,SUNNI DAM HYDRO ELECTRIC PROJECT,SJVN,N18000344,,,,1-2023,4/2028,N.A.,2614.51,N.A.,948.35,29.41,2025-06,FR_JUNE_2025.pdf
474,BHANUPALI-BILASPUR BERI NL,RVNL,N22000273,,,,4-2008,12/2026,N.A.,13370.29,N.A.,5369.57,,2025-06,FR_JUNE_2025.pdf
475,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF ASHYARI-SHRI KYARI SECTION (KM 50.000 TO K,MoRTH,N24001422,,,,2-2021,9/2021,N.A.,345.89,N.A.,178.19,95.08,2025-06,FR_JUNE_2025.pdf
476,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF HAMIRPUR-KARNOHAL SECTION (KM 141.000 TO K,MoRTH,N24001447,,,,8-2020,12/2024,N.A.,371.93,N.A.,154.04,81.00,2025-06,FR_JUNE_2025.pdf
477,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF KALWAHAN-MANDI SECTION (KM 208.950 TO KM 2,MoRTH,N24001470,,,,8-2020,4/2025,N.A.,314.32,N.A.,49.26,51.00,2025-06,FR_JUNE_2025.pdf
478,REHABILITATION AND UPGRADING FROM 2 L TO 4 L FROM BHANGBAR(NEAR RANITAL) TO KANGRA BYPASS SECTION OF,NHAI,N24001808,,,,3-2021,12/2024,Dec-2024,1322.95,1442.47,888.73,96.61,2025-06,FR_JUNE_2025.pdf
479,CONVERSION OF PARTIALLY EXCAVATED ESCAPE TUNNEL TO UNIDIRECTIONAL TWO LANE TUNNEL (INCLUDING CONSTRU,NHAI,N24001809,,,,5-2022,3/2024,Dec-2024,469.95,N.A.,302.91,98.57,2025-06,FR_JUNE_2025.pdf
480,4L SUNDER NAGAR BYPASS FROM KM173.900 TO KM 179.600 OF NH-21 IN THE STATE OF HP,NHAI,N24001810,,,,2-2022,6/2024,N.A.,190.60,N.A.,103.48,100.00,2025-06,FR_JUNE_2025.pdf
481,4L OF MO - SIHUNI FROM KM. 42.00 TO KM. 51.00 OF OLD NH-20 (NEW NH-154) (PACKAGE-IB),NHAI,N24001811,,,,4-2021,6/2024,N.A.,583.93,770.00,173.60,100.00,2025-06,FR_JUNE_2025.pdf
482,4L OF HP/PUNJAB BO4L OF HP/PUNJAB BORDER - MO FROM KM. 11.00 TO KM. 42.00 OF OLD NH-20 (NEW NH-154),NHAI,N24001812,,,,3-2021,5/2024,N.A.,1002.11,1361.79,190.30,46.68,2025-06,FR_JUNE_2025.pdf
483,4L OF END OF PINJORE BYPASS - BADDI - NALAGARH SECTION (KM. 4.200 TO KM. 35.370) OF NH21A,NHAI,N24001813,,,,7-2021,9/2024,N.A.,1692.05,N.A.,942.14,21.60,2025-06,FR_JUNE_2025.pdf
484,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS-5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,N24001915,,,,3-2021,6/2026,N.A.,230.54,N.A.,20.16,28.00,2025-06,FR_JUNE_2025.pdf
485,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS 5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,N24001916,,,,3-2021,5/2026,N.A.,314.67,N.A.,76.05,47.00,2025-06,FR_JUNE_2025.pdf
486,PKG NAME: 4L OF KATHLIGHAT TO SHAKRAL VILLAGE FROM KM 128.835 TO KM 146.300 OF NH- 5 (SHIMLA BYPASS,NHAI,N24002049,,,,3-2022,4/2026,N.A.,1703.48,2278.00,651.98,14.50,2025-06,FR_JUNE_2025.pdf
487,REHABILITATION AND UPGRADATION TO 4L CONFIGURATION and STRENGTHENING OF SIHUNI TO RAJOL FROM KM 51.0,NHAI,N24002050,,,,2-2022,9/2025,N.A.,696.65,698.46,391.62,67.73,2025-06,FR_JUNE_2025.pdf
488,CONSTRUCTION OF NEW 2 LANE WITH PAVED SHOULDER OF HAMIRPUR BYPASS (PACKAGE IVA) OF NH-88 (NEW NH-103,NHAI,N24002051,,,,7-2022,10/2025,N.A.,739.39,N.A.,347.45,81.53,2025-06,FR_JUNE_2025.pdf
489,REHABILITATION AND UP-GRADATION OF EXISTING ROAD TO 2L PS FROM END OF HAMIRPUR BYPASS (NEAR CHILBAHA,NHAI,N24002052,,,,2-2022,4/2025,N.A.,1146.19,N.A.,940.81,71.23,2025-06,FR_JUNE_2025.pdf
490,REHABILITATION AND UP-GRADATION TO 4L CONFIGURATION AND STRENGTHENING OF THANPURI TO PAROR SECTION F,NHAI,N24002192,,,,6-2022,12/2025,N.A.,815.69,815.69,400.63,33.56,2025-06,FR_JUNE_2025.pdf
491,FOUR LANNING OF NERCHOWK- PANDOH BYPASS SECTION OF NH- 21(PACKAGE-I KM 190.000 TO KM 221.305) UNDER NH,NHAI,N24000613,,,,9-2016,7/2020,N.A.,1273.71,N.A.,1450.53,97.43,2025-06,FR_JUNE_2025.pdf
492,"FOUR LANING OF SOLAN-KAITHLIGHAT SECTION OF NH-22 (NOW NH-5) FROM KM 106.139 TO KM 129.050, ON EPC M",NHAI,N24000852,,,,3-2018,5/2021,Dec-2024,478.74,N.A.,1349.59,83.00,2025-06,FR_JUNE_2025.pdf
493,REHABILITATION AND UPGRADATION TO 2-LANE/2-LANE WITH PAVED SHOULDERS/4-LANE CONFIGURATION OF PAONTA,MoRTH,N24001381,,,,8-2020,4/2021,N.A.,272.98,N.A.,140.69,100.00,2025-06,FR_JUNE_2025.pdf
494,REHABILITATION AND UPGRADATION TO 2-LANE CONFIGURATION OF HEWNA-ASHYARI SECTION (KM 25.000 TO KM 50.,MoRTH,N24001382,,,,8-2020,3/2021,N.A.,242.80,N.A.,100.95,94.76,2025-06,FR_JUNE_2025.pdf
495,REHABILITATION AND UPGRADATION TO INTERMEDIATE LANE CONFIGURATION OF SHRI KYARI- GUMMA SECTION (KM 75,MoRTH,N24001383,,,,8-2020,4/2021,N.A.,349.20,N.A.,239.34,100.00,2025-06,FR_JUNE_2025.pdf
496,JAMMU - CONSTRUCTION OF NEW CIVIL ENCLAVE,AAI,N04000107,,,,7-2022,6/2026,N.A.,861.37,N.A.,154.30,30.25,2025-06,FR_JUNE_2025.pdf
497,CONSTRUCTION OF PERMANENT CAMPUS OF IIM JAMMU (PHASE 1),CPWD EDUCATION,N28000130,,,,3-2019,7/2022,Jan-2025,424.93,N.A.,448.15,96.00,2025-06,FR_JUNE_2025.pdf
498,CONSTRUCTION OF PERMANENT CAMPUS IIT JAMMU (PHASE 1C),CPWD EDUCATION,N28000131,,,,1-2018,4/2023,Apr-2025,676.00,1144.68,54.75,100.00,2025-06,FR_JUNE_2025.pdf
499,C/O AIIMS AT AWANTIPORA (KASHMIR) JAMMU AND KASHMIR,CPWD FOR HEALTH,N28000150,,,,3-2019,9/2025,N.A.,1828.00,N.A.,1302.38,64.50,2025-06,FR_JUNE_2025.pdf
500,"CONSTRUCTION OF AIIMS AT JAMMU VIJAYPUR, SAMBA JAMMU AND KASHMIR",CPWD FOR HEALTH,N21000029,,,,3-2019,9/2023,May-2025,1404.00,1642.00,1461.68,100.00,2025-06,FR_JUNE_2025.pdf
501,SETTING UP A COMMON USER PETROLEUM TERMINAL AT JAMMU FOR RE-SITEMENT OF EXISTING DEPOTS OF PSU OMCS,BPCL,N16000500,,,,4-2021,3/2025,N.A.,676.89,N.A.,503.55,76.00,2025-06,FR_JUNE_2025.pdf
502,CGD PROJECT AT JAMMU DISTRICTS,IOCL,N16000527,,,,3-2022,3/2032,Sep-2034,538.00,N.A.,4.09,0.60,2025-06,FR_JUNE_2025.pdf
503,PAKAL DUL HYDRO ELECTRIC PROJECT (1000 MW),CVPPPL,N18000172,,,,10-2014,4/2020,Jul-2025,8112.12,N.A.,6692.58,70.00,2025-06,FR_JUNE_2025.pdf
504,KIRU HYDRO ELECTRIC PROJECT,CVPPPL,N18000278,,,,3-2019,8/2024,N.A.,4287.59,N.A.,2713.25,63.87,2025-06,FR_JUNE_2025.pdf
505,RATLE HE PROJECT,NHPC,N18000324,,,,2-2021,2/2026,N.A.,5281.94,N.A.,1011.56,23.57,2025-06,FR_JUNE_2025.pdf
506,KWAR HE PROJECT,CVPPPL,N18000363,,,,5-2022,11/2026,N.A.,4526.12,N.A.,1159.97,22.15,2025-06,FR_JUNE_2025.pdf
507,TRANSMISSION SCHEME FOR EVACUATION OF POWER FROM RATLE HEP (850 MW) AND KIRU (624 MW): PART B,PGCIL,N18000417,,,,3-2025,3/2027,N.A.,219.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
508,BALANCE WORKS OF FOUR LANING FROM RAMBAN KM 151.00 TO BANIHAL KM 187.00 OF NH-1A (NOW NH-44) WITH VA,NHAI,N24001472,,,,9-2021,12/2023,Jun-2024,811.19,N.A.,848.72,99.00,2025-06,FR_JUNE_2025.pdf
509,CONSTRUCTION OF FOUR LANE RINGROAD BYPASS SRINAGAR CITY,NHAI,N24001511,,,,3-2021,2/2024,Oct-2025,2919.96,N.A.,2334.99,70.00,2025-06,FR_JUNE_2025.pdf
510,FOUR LANING OF JAMMU-AKHNOOR PKG-1,NHIDCL,N24001543,,,,7-2022,1/2025,N.A.,245.34,N.A.,57.20,40.95,2025-06,FR_JUNE_2025.pdf
511,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG-XVI) EXISTING JAKH (VIJAYPUR)-KUNJWANI SECTION OF NH-4,NHAI,N24001550,,,,9-2021,9/2024,Dec-2025,1821.72,1917.32,1005.37,83.71,2025-06,FR_JUNE_2025.pdf
512,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG-XIV) FROM JUNCTION WITH PATHANKOT- GURDASPUR ROAD (NH-5,NHAI,N24001551,,,,10-2021,9/2024,Dec-2025,3044.02,3044.02,1589.44,70.21,2025-06,FR_JUNE_2025.pdf
513,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-II PKG-XV) [JUNCTION WITH HIRANAGAR ROAD NEAR VILLAGE GURHA B,NHAI,N24001552,,,,10-2021,9/2024,Feb-2026,2714.95,2714.95,1663.19,85.78,2025-06,FR_JUNE_2025.pdf
514,CORRIDOR EFFICIENCY IMPROVEMENT INCLUDING REMOVAL OF BLACK SPOTS IN LAKHANPUR - SAMBA SECTION OF NH-,NHAI,N24001619,,,,8-2022,6/2024,Jun-2025,200.05,200.05,153.30,63.20,2025-06,FR_JUNE_2025.pdf
515,CONSTRUCTION OF TUNNELS/VIADUCTS AT IDENTIFIED SLIDING/SLIP ZONES AT KM 130.550 TO KM.130.750; KM.,NHAI,N24001620,,,,9-2021,10/2023,Dec-2025,442.14,N.A.,352.62,19.88,2025-06,FR_JUNE_2025.pdf
516,"4L OF KM.165.092 TO KM.171.855 (NORTH BOUND) AND FROM KM.166.895 TO KM.173.638 (SOUTH BOUND), EXCL.",NHAI,N24001621,,,,7-2021,8/2024,Jul-2025,614.48,N.A.,187.59,7.00,2025-06,FR_JUNE_2025.pdf
517,4L TWIN TUBE TUNNEL INCLUDING APPROACHES FROM DIGDOL TO KHUNI NALLAH (NORTH BOUND CONNECTING WITH EX,NHAI,N24001622,,,,7-2021,6/2024,Jul-2025,1401.87,N.A.,751.11,,2025-06,FR_JUNE_2025.pdf
518,BANIHAL BYPASS (DELINKED FROM SRINAGAR - BANIHAL) FROM KM. 187.00 TO KM. 189.350,NHAI,N24001623,,,,1-2020,1/2024,Feb-2025,336.01,N.A.,223.02,34.00,2025-06,FR_JUNE_2025.pdf
519,CONSTRUCTION OF EMERGENCY LANDING FACILITY FROM KM. 246.60 TO KM. 249.70 ON SRINAGAR - BANIHAL SECTI,NHAI,N24001624,,,,7-2019,10/2020,Apr-2023,157.05,N.A.,139.54,100.00,2025-06,FR_JUNE_2025.pdf
520,4L OF TWIN TUBE TUNNEL CONFIGURATION INCLUDING APPROACHES FROM MAROG TO DIGDOL (FROM KM.154.210 TO K,NHAI,N24001627,,,,7-2021,2/2025,May-2026,1912.17,N.A.,148.88,,2025-06,FR_JUNE_2025.pdf
521,JAMMU - AKHNOOR SECTION OF NH 144A PKG-3B,NHIDCL,N24001833,,,,7-2022,3/2025,N.A.,198.28,N.A.,85.49,71.09,2025-06,FR_JUNE_2025.pdf
522,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 102 TO KM 13,BRO,N24001897,,,,3-2021,7/2024,Mar-2025,642.24,N.A.,345.14,95.00,2025-06,FR_JUNE_2025.pdf
523,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 30.000 TO K,BRO,N24001898,,,,7-2020,11/2024,N.A.,272.49,N.A.,133.66,87.24,2025-06,FR_JUNE_2025.pdf
524,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 134.95 TO KM,BRO,N24001899,,,,2-2021,7/2024,N.A.,395.25,N.A.,140.42,64.00,2025-06,FR_JUNE_2025.pdf
525,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 49.150 TO KM,BRO,N24001900,,,,3-2020,8/2024,N.A.,796.97,N.A.,323.85,79.00,2025-06,FR_JUNE_2025.pdf
526,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 64.535 TO K,BRO,N24001901,,,,3-2020,9/2023,N.A.,152.93,N.A.,90.30,78.27,2025-06,FR_JUNE_2025.pdf
527,CONSTRUCTION OF TWIN TUBE TUNNELS ON JAMMU KASHMIR RING ROAD (NH-244A) BETWEEN DESIGN CH. 50+600 TO,NHAI,N24001926,,,,3-2023,6/2025,N.A.,939.86,N.A.,475.07,69.93,2025-06,FR_JUNE_2025.pdf
528,"CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER FROM (DESIGN CH. 14+200 TO 24+400), (DESIGN CH. 35+300 TO",BRO,N24001998,,,,6-2022,8/2025,N.A.,832.46,N.A.,227.50,46.00,2025-06,FR_JUNE_2025.pdf
529,2L NH-1 FROM KM 8.660 TO KM 33.775 (SUMBAL TO WAYUL) TO 4L DUAL CARRIAGEWAY NH STANDARD AS PART OF S,NHAI,N24002059,,,,9-2022,6/2026,Jun-2026,1183.60,N.A.,197.13,16.63,2025-06,FR_JUNE_2025.pdf
530,DELHI AMRITSAR KATRA EXPRESSWAY (PHASE-II PKG XVIII) DEVELOPMENT AND UPGRADATION OF FOUR LANE ACCESS,NHAI,N24002060,,,,3-2023,11/2025,N.A.,1107.00,N.A.,338.91,38.81,2025-06,FR_JUNE_2025.pdf
531,4/6L ACCESS CONTROL EXPRESSWAY FROM DESIGN CHAINAGE KM 515.000 TO 528.300 (KUNJWANI TO SIDHRA SECTIO,NHAI,N24002061,,,,8-2022,6/2025,N.A.,2474.47,N.A.,923.64,40.17,2025-06,FR_JUNE_2025.pdf
532,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM DESIGN CHAINAGE KM 162.800 TO KM,BRO,N24002119,,,,10-2022,1/2026,N.A.,562.45,N.A.,99.06,25.00,2025-06,FR_JUNE_2025.pdf
533,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER (PATTAN BYPASS) GREENFIELD BYPASS FROM EXISTING CH. KM 24,BRO,N24002179,,,,3-2023,7/2026,N.A.,980.21,N.A.,300.02,8.00,2025-06,FR_JUNE_2025.pdf
534,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 166.100 TO KM,BRO,N24002180,,,,9-2021,7/2026,N.A.,734.64,N.A.,19.60,8.00,2025-06,FR_JUNE_2025.pdf
535,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDERS (BARAMULLA BYPASS) GREENFIELD BYPASS FROM EXISTING CH. K,BRO,N24002185,,,,3-2023,9/2026,N.A.,992.43,N.A.,338.33,,2025-06,FR_JUNE_2025.pdf
536,WIDENING AND STRENGTHENING OF RAFIABAD-KUPWARA-CHOWKIBAL- TANGDHAR-CHAMKOT (NH-701) ROAD FROM DESIGN,BRO,N24002210,,,,3-2024,5/2027,N.A.,1404.94,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
537,FOUR LANING OF UDHAMBUR - RAMBAN SECTION OF NH-1A,NHAI,N24000488,,,,12-2015,12/2018,Nov-2024,2136.97,2644.00,2386.51,99.50,2025-06,FR_JUNE_2025.pdf
538,CONSTRUCTION OF STAND ALONE RING ROAD/ BYPASS AROUND JAMMU CITY IN THE STATE OF J AND K ON EPC MODE,NHAI,N24000717,,,,12-2017,7/2021,Jul-2025,1471.75,1471.75,1731.65,98.94,2025-06,FR_JUNE_2025.pdf
539,UP-GRADATION TO 4-LANE WITH PAVED SHOULDER OF JAMMU- AKHNOOR ROAD SECTION OF NH-144A FROM GANESH VIHA,NHIDCL,N24000868,,,,3-2018,7/2021,Aug-2023,253.44,N.A.,191.14,83.23,2025-06,FR_JUNE_2025.pdf
540,CONSTRUCTION OF (I) CONNECTING ROAD FROM Z-MORH TUNNEL TO ZOJILA TUNNEL AND (II) 14.150 KM LONG BI-D,NHIDCL,N24001256,,,,8-2020,9/2026,N.A.,6808.69,N.A.,3013.84,49.92,2025-06,FR_JUNE_2025.pdf
