sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
843,DHULE (BORVIHIR)-NARDANA (UMBRELLA WORK),CR,N22000514,,,,1-2019,12/2026,N.A.,492.76,N.A.,234.48,5.00,2025-06,FR_JUNE_2025.pdf
844,KALYAN-MURBAD VIA ULHASNAGAR (UMBRELLA WORK),CR,N22000515,,,,2-2023,3/2027,N.A.,836.12,N.A.,9.29,,2025-06,FR_JUNE_2025.pdf
845,BARAMATI - LONAND,CR,N22000615,,,,2-1999,3/2027,N.A.,736.44,N.A.,712.06,50.00,2025-06,FR_JUNE_2025.pdf
846,MUMBAI URBAN TRANSPORT PROJECT IIIA,MRVC,N22000627,,,,4-2019,12/2027,N.A.,33690.00,N.A.,2156.62,,2025-06,FR_JUNE_2025.pdf
847,NAGPUR- NAGBHIR RAILWAY LINE GAUGE CONVERSION PROJECT,MRIDC,N22000629,,,,10-2019,6/2024,N.A.,1400.00,N.A.,1791.72,87.00,2025-06,FR_JUNE_2025.pdf
848,UPGRADATION OF ADHALGAON- JAMKHED SECTION OF NH-548 D FROM KM 132/600 TO KM 195/375 TO TWO LANE WITH,MoRTH,N24001448,,,,11-2021,2/2022,N.A.,223.35,N.A.,209.36,87.88,2025-06,FR_JUNE_2025.pdf
849,REPANPALLI TO SIRONCHA,MoRTH,N24001468,,,,3-2022,6/2022,N.A.,282.07,N.A.,34.65,,2025-06,FR_JUNE_2025.pdf
850,TUNNEL AT KHAMBATAKI GHAT SECTION AND ITS APPROACHES FROM EXISTING KM. 771.730 TO EXISTING KM. 782.0,NHAI,N24001486,,,,2-2019,2/2022,Dec-2024,493.00,N.A.,409.36,77.64,2025-06,FR_JUNE_2025.pdf
851,DHARAMPURI-LONAND FROM KM. 117.00 TO 166.40 (PKG-IV) ON MOHOL- ALANDI SECTION,NHAI,N24001488,,,,9-2021,9/2023,Dec-2024,618.45,N.A.,672.67,96.90,2025-06,FR_JUNE_2025.pdf
852,6L OF KAGAL-SATARA SECTION FROM KM 658.000 TO KM 725.000 OF NH-48 (PKG-II),NHAI,N24001493,,,,12-2022,12/2024,N.A.,1749.86,N.A.,1858.98,69.14,2025-06,FR_JUNE_2025.pdf
853,4L OF RATNAGIRI - KOLHAPUR SECTION OF NH-166 FROM KM 0.000 TO KM 19.769 AND KM 31.000 TO KM 67.140 (,NHAI,N24001495,,,,11-2022,11/2024,N.A.,930.00,N.A.,675.62,77.15,2025-06,FR_JUNE_2025.pdf
854,4L OF BARAMATI TO INDAPUR (PKG-II) FROM KM. 41.400 TO KM. 84.550 OF NH- 965G (SAINT TUKARAM MARG),NHAI,N24001502,,,,9-2021,9/2023,Jul-2025,624.45,580.15,420.42,0.50,2025-06,FR_JUNE_2025.pdf
855,4L OF INDAPUR TO TONDLE (PKG-III) FROM KM.84.550 TO KM. 131.00 OF NH- 965G (SAINT TUKARAM MARG),NHAI,N24001503,,,,9-2021,9/2023,Jan-2025,667.66,666.21,610.63,3.00,2025-06,FR_JUNE_2025.pdf
856,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XI) [KM. 77.000 TO KM. 103.400] (GANJAD - TALSARI),NHAI,N24001504,,,,5-2022,5/2024,Jun-2025,1260.00,N.A.,665.73,99.00,2025-06,FR_JUNE_2025.pdf
