sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
522,,,,Hajipur-Sagauli New line (East Central Railway [ECR] - I) (705366),Bihar,,2007-10,2020-03,2026-12,2067,2087,2013.82,74,2025-10,FlashReport_October_2025.pdf
523,,,,Araria Supaul New BG Line (East Central Railway [ECR] - I) (705368),Bihar,,2018-06,2024-03,2027-01,1605,2514,1547.96,35,2025-10,FlashReport_October_2025.pdf
524,East Central Railway [ECR] - I,705373,,"Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan , Daniawan to",Bihar,"Biharsharif, Biharsharif to Barbigha , Barbigha to Shekhpura",2002-08,2023-03,2025-08,1473,2882,2535.73,94,2025-10,FlashReport_October_2025.pdf
525,,,,Jogbani-Biratnagar New Rail Line project (Indian Railway Construction International Limited [IRCON]) (705450),Bihar,,2010-06,2022-03,2026-12,402,486,367.54,86,2025-10,FlashReport_October_2025.pdf
526,,,,Samastipur-Darbhanga Doubling Railway Project (East Central Railway [ECR] - I) (705526),Bihar,,2015-11,2025-03,2025-10,519,519,367.57,84,2025-10,FlashReport_October_2025.pdf
527,,,,Sagauli-Valmiknagar (East Central Railway [ECR] - I) (705527),Bihar,,2018-03,2025-12,2025-12,1216,2222,2072.37,91,2025-10,FlashReport_October_2025.pdf
528,,,,Muzaffarpur-Sugauli (East Central Railway [ECR] - I) (705528),Bihar,,2018-03,2024-06,2026-02,1586,1586,1470.4,99,2025-10,FlashReport_October_2025.pdf
529,,,,Rampur Dumra-Tal-Rajendrapul Additional Bridge and Railway Line Doubling (Indian Railway Construction International Limited [IRCON]) (706759),Bihar,,2016-03,2024-12,2025-12,2373.64,1700.24,1427.78,97,2025-10,FlashReport_October_2025.pdf
530,,,,Barauni-Bachwara [16 km] - 3rd & 4th line incl. Barauni yard remodelling [32 km] (East Central Railway [ECR] - I) (706860),Bihar,,2022-10,2025-08,2026-10,645,645,7.96,55,2025-10,FlashReport_October_2025.pdf
531,,,,JHAJHA - BATIA (East Central Railway [ECR] - I) (900874),Bihar,,2023-03,2028-03,2030-01,588.18,588.18,0.8,0,2025-10,FlashReport_October_2025.pdf
532,,,,Kharsia-Dharamjaygarh with Spur line [East Corridor-Phase 1] (Indian Railway Construction International Limited [IRCON]) (400220),Chhattisgarh,,2016-03,2018-09,2026-03,3055,3438,2594.89,94,2025-10,FlashReport_October_2025.pdf
533,,,,Doubling of Kirandul-Jagdalpur Line [150 km] (East Coast Railway [ECoR] - II) (400291),Chhattisgarh,,2013-02,2020-03,2025-12,1589,1798,1566.97,93,2025-10,FlashReport_October_2025.pdf
534,SECR,602792,,Gauge Conversion of Kendri-Dhamtari including Abhanpur - Rajim Branch line 67.20,Chhattisgarh,Kms - 2nd Material Modification to Raipur Titlagarh doubling.,2011-07,2025-02,2026-03,1171,1171,376,100,2025-10,FlashReport_October_2025.pdf
535,,,,4th line between Nipania Bhatapara 14.4 Km (South East Central Railway [SECR] - II) (612815),Chhattisgarh,,2022-12,2027-03,,170.49,170.49,1.34,5,2025-10,FlashReport_October_2025.pdf
536,,,,Dharamjaigarh-Korba 63 km (CERL) (613003),Chhattisgarh,,2023-08,2026-08,,1686.26,1686.26,288.83,18.5,2025-10,FlashReport_October_2025.pdf
537,,,,KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM] (CAO/C/SECR) (617200),Chhattisgarh,,2025-04,2031-03,,7853.84,7853.84,0,0,2025-10,FlashReport_October_2025.pdf
538,,,,"Dallirajhara - Rowghat New Rail Line Project, Phase-I (Rail Vikas Nigam Limited) (617374)",Chhattisgarh,,,2025-03,,1516.45,1516.45,873.79,92,2025-10,FlashReport_October_2025.pdf
539,,,,Dallirajhra- Rowghat New Railway Line - Phase I [95 km] (Rail Vikas Nigam Limited) (705433),Chhattisgarh,,2009-07,2025-09,2025-12,1628,1628,1440.85,82,2025-10,FlashReport_October_2025.pdf
540,,,,Gevra Road-Pendra Road New Railway Line [135 km] (Indian Railway Construction International Limited [IRCON]) (705444),Chhattisgarh,,2014-04,2022-03,2025-12,4970,4970,4449.99,73,2025-10,FlashReport_October_2025.pdf
541,,,,Boridand - Ambikapur Doubling Line Project (South East Central Railway [SECR] - II) (706854),Chhattisgarh,,2022-06,2030-06,2030-06,1376,1576.23,139.49,21,2025-10,FlashReport_October_2025.pdf
542,,,,4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23] (SECR) (709815),Chhattisgarh,,2022-09,2027-01,2027-12,177.03,177.03,0,3,2025-10,FlashReport_October_2025.pdf
543,,,,4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23] (SECR) (709816),Chhattisgarh,,2022-09,2027-02,2027-02,177.34,177.34,1.64,5,2025-10,FlashReport_October_2025.pdf
544,,,,4TH LINE - DADHAPARA-BELHA [9.2 KM] [PB-72/NR/2022-23] (SECR) (709817),Chhattisgarh,,2022-09,2026-11,2026-11,169.06,169.06,17.84,60,2025-10,FlashReport_October_2025.pdf
545,,,,4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23] (SECR) (709818),Chhattisgarh,,2022-09,2027-01,2027-01,328.34,328.34,56.1,26,2025-10,FlashReport_October_2025.pdf
546,,,,3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI (SECR) (709819),Chhattisgarh,,2022-09,2026-12,2026-12,167.64,167.64,0.09,4,2025-10,FlashReport_October_2025.pdf
547,Rail Land Development Authority,613785,,Redevelopment of New Delhi Railway Station and construction of associated,Delhi,infrastructure,2023-01,2028-12,,4744,4744,119.95,1,2025-10,FlashReport_October_2025.pdf
548,,,,Development of New Bijwasan Railway Terminal (Northern Railways) (617379),Delhi,,2008-02,2020-03,,446.21,446.21,511.94,80,2025-10,FlashReport_October_2025.pdf
549,,,,North Region Video Surveillance Project (RCIL) (705298),Delhi,,2020-06,2024-03,,274.39,274.39,0,0,2025-10,FlashReport_October_2025.pdf
550,,,,Anand Vihar-Tilak Bridge 3rd & 4th line (CAO/C/NR) (705583),Delhi,,2013-03,2023-03,2027-12,667,667,287.26,62,2025-10,FlashReport_October_2025.pdf
551,,,,Provision of Work-site Tampers [WST] Railway Project (EDTK[MC]/RB) (705694),Delhi,,2016-01,2023-12,2026-01,187.72,187.72,141.91,100,2025-10,FlashReport_October_2025.pdf
552,,,,WST Machine Procurement Project (EDTK[MC]/RB) (705708),Delhi,,2018-06,2024-03,2027-12,176,176,0,0,2025-10,FlashReport_October_2025.pdf
553,,,,PCT Machine Procurement Project (EDTK[MC]/RB) (705710),Delhi,,2019-04,2024-04,2027-06,336,336,74.32,85,2025-10,FlashReport_October_2025.pdf
554,,,,RBMV Machine Procurement Project (EDTK[MC]/RB) (705712),Delhi,,2019-10,2024-06,2027-12,480,480,0.33,7,2025-10,FlashReport_October_2025.pdf
555,,,,SRGM Machine Procurement Project (EDTK[MC]/RB) (705717),Delhi,,2019-10,2023-12,2026-03,440,440,390.03,90,2025-10,FlashReport_October_2025.pdf
556,,,,WST Machine Procurement Project (EDTK[MC]/RB) (705720),Delhi,,2019-12,2024-04,2026-12,384,384,0,0,2025-10,FlashReport_October_2025.pdf
557,,,,DTS Machine Procurement Project (EDTK[MC]/RB) (705721),Delhi,,2019-12,2024-12,2026-12,447.6,447.6,0,0,2025-10,FlashReport_October_2025.pdf
558,,,,BRM Machine Procurement Project (EDTK[MC]/RB) (705722),Delhi,,2019-09,2024-06,2027-12,210,210,0.02,0,2025-10,FlashReport_October_2025.pdf
559,,,,Track Machine Procurement Project (EDTK[MC]/RB) (705726),Delhi,,2020-04,2025-03,2028-01,6339,6339,4166.47,41,2025-10,FlashReport_October_2025.pdf
560,,,,Kosamba Umarpada 70 Km (PCE/WR) (611918),Gujarat,,2023-07,2027-03,,468,468,20.28,8,2025-10,FlashReport_October_2025.pdf
561,,,,Adraj Moti Vijapur 40 Kms (Western Railway (WR) - II) (611937),Gujarat,,2022-05,2026-05,2025-12,417.53,417.53,494.13,90,2025-10,FlashReport_October_2025.pdf
562,,,,New Broad Gauge line between Naliya to Jakhau Port (Western Railway (WR) - II) (611943),Gujarat,,2023-02,2028-01,2028-01,410.26,410.26,6.6,4,2025-10,FlashReport_October_2025.pdf
563,Western Railway (WR) - II,611944,,Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing,Gujarat,direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms,2023-02,2026-03,2026-03,152.44,152.44,101.74,75,2025-10,FlashReport_October_2025.pdf
